id,image,title,description,author_name,price,format,publication_date,publication_city_country,language,categories 
114,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638583011.jpg,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4, Wei Wuxian was once one of the most powerful men of his generation  a talented and clever young cultivator who harnessed martial arts and spirituality into powerful abilities. But when the horrors of war led him to seek more power through demonic cultivation  the world's respect for his abilities turned to fear  and his death was celebrated throughout the land. Years later  he awakens in the body of an aggrieved young man who sacrifices his soul so that Wei Wuxian can exact revenge on his behalf. Though granted a second life  Wei Wuxian is not free from his first  nor the mysteries that appear before him now. Yet this time  he'll face it all with the righteous and esteemed Lan Wangji at his side  another powerful cultivator whose unwavering dedication and shared memories of their past will help shine a light on the dark truths that surround them. This Chinese xianxia fantasy novel series built around the romanticized love between two men (danmei) has been translated into numerous languages and spawned a multimedia franchise that has taken the globe by storm  including the massively popular live-action series The Untamed available now on Netflix  YouTube  and more. The Seven Seas English-language edition will include exclusive  all-new covers from Jin Fang (jinzillaa)  interior illustrations from Marina Privalova (BaoshanKaro)  and a translation by Suika (yummysuika) with editor Pengie (pengiesama). ,Mo Xiang Tong Xiu,26.72,Paperback | 388 pages,13 Dec 2022,West Hollywood  United States,English,"Fantasy,Fantasy Books,Romance,Romance Books,Historical Fiction,Graphic Novels Anime Manga"
115,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8001/9781800180796.jpg,Cain's Jawbone : A Novel Problem, 'If James Joyce and Agatha Christie had a literary love child  this would be it' Daily Telegraph 'A unique hybrid of word puzzle and whodunnit' Literary Review Six murders. One hundred pages. Millions of possible combinations... but only one is correct. Can you solve Torquemada's murder mystery? In 1934  the Observer's cryptic crossword compiler  Edward Powys Mathers (aka Torquemada)  released a novel that was simultaneously a murder mystery and the most fiendishly difficult literary puzzle ever written. The pages have been printed in an entirely haphazard order  but it is possible - through logic and intelligent reading - to sort the pages into the only correct order  revealing six murder victims and their respective murderers. Only three puzzlers have ever solved the mystery of Cain's Jawbone: do you have what it takes to join their ranks? Please note: this puzzle is extremely difficult and not for the faint-hearted. ,Ernest Powys Mathers,12.68,Paperback | 100 pages,08 Jul 2021,London  United Kingdom,English,
116,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9087/9781908745903.jpg,The Seven Moons of Maali Almeida : Winner of the Booker Prize 2022, WINNER OF THE BOOKER PRIZE 2022 A searing satire set amid the murderous mayhem of Sri Lanka beset by civil war Colombo  1990. Maali Almeida  war photographer  gambler and closet gay  has woken up dead in what seems like a celestial visa office. His dismembered body is sinking in the serene Beira lake and he has no idea who killed him. At a time where scores are settled by death squads  suicide bombers and hired goons  the list of suspects is depressingly long  as the ghouls and ghosts with grudges who cluster round can attest. But even in the afterlife  time is running out for Maali. He has seven moons to try and contact the man and woman he loves most and lead them to a hidden cache of photos that will rock Sri Lanka. Ten years after his prizewinning novel Chinaman established him as one of Sri Lanka's foremost authors  Karunatilaka is back with a rip-roaring epic  full of mordant wit and disturbing truths. 'Fizzes with energy  imagery and ideas against a broad  surreal vision of the Sri Lankan civil wars' The Booker judges 'Recalls the mordant wit and surrealism of Nikolai Gogol's Dead Souls or Mikhail Bulgakov's The Master and Margarita ... Karunatilaka has done artistic justice to a terrible period in his country's history' Guardian 'Outstanding... the most significant work of Sri Lankan fiction in a decade.' New European ,Shehan Karunatilaka,23.86,Hardback | 368 pages,04 Aug 2022,London  United Kingdom,English,"Contemporary Fiction,Military Fiction"
117,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5294/9781529427974.jpg,TommyInnit Says...The Quote Book : THE SUNDAY TIMES BESTSELLER, A laugh-out-loud 'best of' selection of TommyInnit's most weird and wonderful quotes - plus much more - carefully selected to BLOW YOUR MIND by him and best friend Wilbur Soot. 'Nah  I think I'd be a pretty bad shark' 'What if God was just legs?' 'We're really just chilling  fellas' Born sometime in the early 2000s  TommyInnit's first job was a YouTuber. No  really  we're not joking  the very first job he had was a YouTuber. For the last three years  he's been mouthing off on the internet to anyone who will listen. So far  that's over 40 million followers. Will there ever be an end to TommyInnit's rampant flurry of success? Probably. And Wilbur Soot has been right by his side. Wilbur first started his career as a young man staring at the wall until he also became a YouTuber. He also discovered a little activity some may call 'singing'. In The Quote Book  TommyInnit covers a wealth of topics from cars-that-grow-teeth to slime people  and from things that be crazy to octopi. Curated and edited by Wilbur Soot  TommyInnit is about to change your life one word at a time. Unless  dear reader  you read two words at a time  like he does. Featuring: A day in the life Inside TommyInnit's brain What TommyInnit would do if he was God Life advice from Wilbur Love poetry and history lessons  TommyInnit style Wilbur's attempts to reason with TommyInnit ,Tom Simons,17.73,Hardback | 208 pages,13 Oct 2022,London  United Kingdom,English,"Autobiography Arts Entertainment,Digital Video Consumer user Guides,Games Strategy Guides,Web Graphics Design,Funny Books Stories,TV Tie in Humour,Slang Dialect Humour,Humour Collections Anthologies,Television Film,Computer Game Guides"
118,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1419/9780141988511.jpg,12 Rules for Life : An Antidote to Chaos, The #1 Sunday Times bestseller from 'the most influential public intellectual in the Western world right now' (New York Times) - now in paperback. How should we live properly in a world of chaos and uncertainty? Jordan Peterson has helped millions of people  young and old  men and women  aim at a life of responsibility and meaning. Now he can help you. Drawing on his own work as a clinical psychologist and on lessons from humanity's oldest myths and stories  Peterson offers twelve profound and realistic principles to live by. After all  as he reminds us  we each have a vital role to play in the unfolding destiny of the world. Deep  rewarding and enlightening  12 Rules for Life is a lifeboat built solidly for stormy seas: ancient wisdom applied to our contemporary problems. ,Jordan B. Peterson,16.56,Paperback | 448 pages,07 May 2019,London  United Kingdom,English,"Social Political Philosophy,Popular Philosophy,Psychology,Clinical Psychology,Personal Development,Advice On Careers Achieving Success,Popular Psychology,Assertiveness Motivation Self esteem"
119,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974709953.jpg,Chainsaw Man  Vol. 3, Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive in a harsh world. After being killed on a job  he is revived by his pet devil Pochita and becomes something new and dangerous-Chainsaw Man! A mysterious devil is demanding Denji's heart! But will the devil hunters from Division 4 agree to this deal to save themselves? Or will Denji have to do what Denji does best-turn into a chainsaw and carve up everything that gets in his way?! ,Tatsuki Fujimoto,12.89,Paperback | 192 pages,01 Apr 2021,San Francisco  United States,English,Graphic Novels Manga
120,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471156267.jpg,It Ends With Us: The most heartbreaking novel you'll ever read : The most heartbreaking novel you'll ever read, A brave and heartbreaking novel that digs its claws into you and doesn't let go  long after you've finished it' Anna Todd  author of the After series 'A glorious and touching read  a forever keeper' USA Today 'Will break your heart while filling you with hope' Sarah Pekkanen  Perfect Neighbors SOMETIMES THE ONE WHO LOVES YOU IS THE ONE WHO HURTS YOU THE MOST. Lily hasn't always had it easy  but that's never stopped her from working hard for the life she wants. She's come a long way from the small town in Maine where she grew up - she graduated from college  moved to Boston  and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid  everything in Lily's life suddenly seems almost too good to be true. Ryle is assertive  stubborn  maybe even a little arrogant. He's also sensitive  brilliant  and has a total soft spot for Lily  but Ryle's complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his 'no dating' rule  she can't help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her  so do thoughts of Atlas Corrigan - her first love and a link to the past she left behind. He was her kindred spirit  her protector. When Atlas suddenly reappears  everything Lily has built with Ryle is threatened. With this bold and deeply personal novel  It Ends With Us is a heart-wrenching story and an unforgettable tale of love that comes at the ultimate price. ,Colleen Hoover,13.19,Paperback | 384 pages,02 Aug 2016,London  United Kingdom,English,"Fiction Books,Contemporary Fiction,Romance,Romance Books,Adult Contemporary Romance,Poverty Unemployment"
121,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4087/9781408726600.jpg,Verity : The thriller that will capture your heart and blow your mind, OVER 3 MILLION COPIES SOLD - THE NO.1 BESTSELLER AND TIKTOK SENSATION  FROM THE AUTHOR OF IT ENDS WITH US Are you ready to stay up all night? Rebecca meets Gone Girl in this shocking  unpredictable thriller with a twist that will leave you reeling . . . Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford  husband of bestselling author Verity Crawford  has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home  ready to sort through years of Verity's notes and outlines  hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions  including Verity's recollection of the night their family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy  knowing its contents would devastate the already-grieving father. But as Lowen's feelings for Jeremy begin to intensify  she recognizes all the ways she could benefit if he were to read his wife's words. After all  no matter how devoted Jeremy is to his injured wife  a truth this horrifying would make it impossible for him to continue loving her . . . If you loved Verity  don't miss the special collector's edition golden hardback coming this autumn  including an exclusive never-before-seen final chapter. Available to order now. 500 000 READERS HAVE ALREADY GIVEN VERITY FIVE STARS 'One of the best thrillers I have ever read' ***** 'Powerful  mind-blowing and emotional' ***** 'The plot twists and that ending came out of nowhere' ***** 'There are no words. Bravo' ***** 'Dark  creepy  and one hundred per cent original' ***** 'I NEEDED to know how this was going to end' ***** 'Left me completely speechless' ***** VERITY was a No.1 Kindle bestseller on 18.03.22 ,Colleen Hoover,11.88,Paperback | 336 pages,20 Jan 2022,Sphere,London  United Kingdom,"Crime,Crime Fiction,Thriller Books,Thrillers"
122,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8129/9780812983043.jpg,The Tools : 5 Tools to Help You Find Courage  Creativity  and Willpower--and Inspire You to Live Life in Forward Motion," NEW YORK TIMES BESTSELLER - Change can begin right now. Learn to bring about dynamic personal growth using five uniquely effective tools--from psychotherapist Barry Michels and psychiatrist Phil Stutz  subject of the Netflix documentary Stutz  directed by Jonah Hill. ""These tools are emotional game changers. They do nothing less than deliver you to your best and most powerful self.""--Kathy Freston  author of Quantum Wellness The Tools offers a solution to the biggest complaint patients have about therapy: the interminable wait for change to begin. The traditional therapeutic model sets its sights on the past  but psychiatrist Phil Stutz and psychotherapist Barry Michels employ an arsenal of techniques--""the tools""--that allow patients to use their problems as levers that access the power of the unconscious and propel them into action. Suddenly  through this transformative approach  obstacles become new chances--to find courage  embrace discipline  develop self-expression  deepen creativity. A dynamic  results-oriented practice  The Tools aims to deliver relief from persistent problems and restore control and hope right away. Every day presents challenges--big and small--that the tools transform into opportunities to bring about bold and dramatic change in your life. Stutz and Michels teach you how to: - Get Unstuck Master the things you are avoiding and live in forward motion. - Control Anger Free yourself from out-of-control rage and never-ending grudges. - Express Yourself Learn the secret of true confidence and find your authentic voice. - Combat Anxiety Stop obsessive worrying and negative thinking. - Find Discipline Activate willpower and make the most of every minute. With The Tools  Stutz and Michels allow you to realize the full range of your potential. Their goal is nothing less than for your life to become exceptional--exceptional in its resiliency  in its experience of real happiness  and in its understanding of the human spirit. ",Phil Stutz,20.33,Paperback | 288 pages,09 Oct 2014,New York  United States,English,"Psychology,Analytical Jungian Psychology,Management Leadership Motivation,Mental Health Services,Personal Development,Popular Psychology,Assertiveness Motivation Self esteem"
123,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5291/9781529196047.jpg,Me vs Brain : An Overthinker's Guide to Life, THE HILARIOUS BOOK FROM TIKTOK AND INSTA SENSATION HAYLEY MORRIS  AVAILABLE TO PRE-ORDER NOW _____ Brain: We left the oven on! Me: No don't say that  I've not got time for this! Brain: The house is probably on fire! Me: Stop it  I need to write this book description. Brain: But the blazing fire. Me: We didn't even use the oven today. Brain: But what if - Me: No. We're not doing this  I'm finishing this description. Hello there! Hayley Morris here. Or you might know me as the Brain Girl  and don't be fooled...it's not because I'm outrageously smart. Just an avid overthinker. I'm on a mission to prove once and for all that You. Are. Normal. Running through imaginary arguments whilst showering  hiding your knickers in the nurse's office before they look directly into your vagina  or not knowing how to be a normal human when you have the plumber over. I've spent the majority of my life saying and doing embarrassing things that wake me up in a cold sweat at 3am as my Brain reminds me of every minor detail. In this book  I've overthought absolutely everything so you don't have to. I'll be talking about everything from dating to discharge  mental health to menstrual cups. I might not be able to banish your anxiety or make you feel 100% comfortable in your skin  but I hope I can at least give you a break from the constant brain chatter and we can rejoice and laugh at how similar we actually all are. DON'T OVERTHINK IT. PRE-ORDER NOW. ,Hayley Morris,23.28,Hardback | 304 pages,16 Feb 2023,Century,London  United Kingdom,"Other Performing Arts,Autobiography General,Biography Arts Entertainment,Personal Development,Popular Psychology,Funny Books Stories"
124,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6857/9781685798406.jpg,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition), In this final book (Volume 5)  read the conclusion to this historical fantasy tale of two powerful men who find each other through life and death. Also includes bonus stories! Wei Wuxian and Lan Wangji are headed for a showdown at Guanyin Temple  where their path converges with Jin Guangyao and Nie Mingjue's reassembled fierce corpse. With decades-long schemes finally unveiled  and terrible secrets unearthed  the events of this rain-battered night will decide not just the future of the entire cultivation world...but also that of a love story two lifetimes in the making. Also included in this final volume are eight short stories about what happens when an epic tale ends but life goes on. From magical incense burners to tense banquets  lotus-pod-hunting to Night ,Mo Xiang Tong Xiu;,26.99,Paperback | 444 pages,02 May 2023,West Hollywood  United States,English,"Contemporary Fiction,Fantasy,Fantasy Books,Romance,Romance Books,Graphic Novels Anime Manga,Graphic Novels Manga"
125,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8479/9781847941831.jpg,Atomic Habits : the life-changing million-copy #1 bestseller, THE PHENOMENAL INTERNATIONAL BESTSELLER: 1 MILLION COPIES SOLD Transform your life with tiny changes in behaviour  starting now. People think that when you want to change your life  you need to think big. But world-renowned habits expert James Clear has discovered another way. He knows that real change comes from the compound effect of hundreds of small decisions: doing two push-ups a day  waking up five minutes early  or holding a single short phone call. He calls them atomic habits. In this ground-breaking book  Clears reveals exactly how these minuscule changes can grow into such life-altering outcomes. He uncovers a handful of simple life hacks (the forgotten art of Habit Stacking  the unexpected power of the Two Minute Rule  or the trick to entering the Goldilocks Zone)  and delves into cutting-edge psychology and neuroscience to explain why they matter. Along the way  he tells inspiring stories of Olympic gold medalists  leading CEOs  and distinguished scientists who have used the science of tiny habits to stay productive  motivated  and happy. These small changes will have a revolutionary effect on your career  your relationships  and your life. ________________________________ A NEW YORK TIMES AND SUNDAY TIMES BESTSELLER 'A supremely practical and useful book.' Mark Manson  author of The Subtle Art of Not Giving A F*ck 'James Clear has spent years honing the art and studying the science of habits. This engaging  hands-on book is the guide you need to break bad routines and make good ones.' Adam Grant  author of Originals 'Atomic Habits is a step-by-step manual for changing routines.' Books of the Month  Financial Times 'A special book that will change how you approach your day and live your life.' Ryan Holiday  author of The Obstacle is the Way ,James Clear,22.81,Paperback | 320 pages,27 Nov 2018,Random House Business Books,London  United Kingdom,"Social Group Or Collective Psychology,Cognition Cognitive Psychology,Finance Accounting,Dating Relationships Living Together Marriage,Personal Development,Advice On Careers Achieving Success,Popular Psychology,Assertiveness Motivation Self esteem"
126,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398515697.jpg,Seven Husbands of Evelyn Hugo : The Sunday Times Bestseller, THE SUNDAY TIMES BESTSELLER AND TIKTOK SENSATION SOON TO BE A NETFLIX FILM 'Riveting  heart-wrenching and full of Old Hollywood glamour' BuzzFeed 'This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama' PopSugar From the author of Daisy Jones & The Six in which a legendary film actress reflects on her relentless rise to the top and the risks she took  the loves she lost  and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job  no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her  and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography  Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn's luxurious apartment  Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s  and  of course  the seven husbands along the way  Evelyn unspools a tale of ruthless ambition  unexpected friendship  and a great forbidden love. Monique begins to feel a very real connection to the legendary star  but as Evelyn's story near its conclusion  it becomes clear that her life intersects with Monique's own in tragic and irreversible ways. The Seven Husbands of Evelyn Hugo is a mesmerizing journey through the splendour of old Hollywood into the harsh realities of the present day as two women struggle with what it means and what it costs to face the truth. Don't miss the new novel from Taylor Jenkins Reid  Carrie Soto is Back  out now ,Taylor Jenkins Reid,13.34,Paperback | 400 pages,14 Oct 2021,London  United Kingdom,English,"Contemporary Fiction,Romance,Romance Books,Adult Contemporary Romance,Historical Romance,Historical Fiction"
127,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529029581.jpg,Before the Coffee Gets Cold, Translated from Japanese by Geoffrey Trousselot  Toshikazu Kawaguchi's beautiful  moving Before the Coffee Gets Cold explores the age-old question: what would you change if you could travel back in time? More importantly  who would you want to meet  maybe for one last time? In a small back alley in Tokyo  there is a cafe which has been serving carefully brewed coffee for more than one hundred years. But this coffee shop offers its customers a unique experience: the chance to travel back in time. In Before the Coffee Gets Cold  we meet four visitors  each of whom is hoping to make use of the cafe's time-travelling offer  in order to: confront the man who left them  receive a letter from their husband whose memory has been taken by early onset Alzheimer's  see their sister one last time  and meet the daughter they never got the chance to know. But the journey into the past does not come without risks: customers must sit in a particular seat  they cannot leave the cafe  and finally  they must return to the present before the coffee gets cold . . . ,Toshikazu Kawaguchi,13.73,Paperback | 224 pages,19 Sep 2019,PICADOR,London  United Kingdom,"Fiction Books,Contemporary Fiction,Science Fiction,Fiction In Translation,Fantasy Books for Kids"
128,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638589297.jpg,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1, Also known as 2ha  the wildly popular danmei/Boys' Love novel series from China that inspired a multimedia franchise! A historical fantasy epic about a tyrant's second chance at life and the powerful cultivation teacher he can't get out of his mind. Massacring his way to the top to become emperor of the cultivation world  Mo Ran's cruel reign left him with little satisfaction. Now  upon suffering his greatest loss  he takes his own life... To his surprise  Mo Ran awakens in his own body at age sixteen  years before he ever began his bloody conquests. Now  as a novice disciple at the cultivation sect known as Sisheng Peak  Mo Ran has a second chance at life. This time  he vows that he will attain the gratification that eluded him in his last life: the overly righteous shall fall  and none will dare treat him like a dog ever again! His furious passion burns most fiercely for his shizun  Chu Wanning  the beautiful yet cold cultivation teacher who maintains a cat-like aloofness in his presence. Yet despite Mo Ran's shameless pursuit of his own goals  he begins to question his previously held beliefs  and wonders if there could be more to his teacher-and his own feelings-than he ever realized. This Chinese fantasy (xianxia) epic built around the desire between two men (danmei) has been translated into multiple languages and inspired a multimedia franchise in China. The Seven Seas English-language edition will include exclusive  all-new covers and interior illustrations from artist St with a translation by Rynn & Jun. ,Rou Bao Bu Chi Rou,20.88,Paperback | 400 pages,15 Nov 2022,West Hollywood  United States,English,"Fantasy,Fantasy Books,Romance,Romance Books,Graphic Novels Anime Manga,Graphic Novels Manga"
129,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1419/9780141978611.jpg,The Body Keeps the Score : Mind  Brain and Body in the Transformation of Trauma, THE NEW YORK TIMES BESTSELLER 'An astonishing and important book. The trauma Bible. I cannot recommend it enough for anyone struggling with...well...anything' Tara Westover The effects of trauma can be devastating for sufferers  their families and future generations. Here one of the world's experts on traumatic stress offers a bold new paradigm for treatment  moving away from standard talking and drug therapies and towards an alternative approach that heals mind  brain and body. 'Dr. van der Kolk's masterpiece combines the boundless curiosity of the scientist  the erudition of the scholar  and the passion of the truth teller' Judith Herman  author of Trauma and Recovery ,Bessel Van Der Kolk,19.32,Paperback | 560 pages,24 Sep 2015,London  United Kingdom,English,"Psychology,Abnormal Psychology,Psychiatry,Clinical Psychology,Trauma Shock,Health Books,Popular Medicine Health,Popular Psychology,Complementary Therapies Healing Health,Mind Body Spirit Meditation Visualisation"
130,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141340555.jpg,Roald Dahl's Marvellous Joke Book, Which famous writer goes best with a hot dog? Roll Dahl of course! Laugh yourself silly with Roald Dahl's Marvellous Joke Book  filled with over 400 hilarious jokes  limericks and riddles  illustrated by Quentin Blake. Based on Roald Dahl's most famous characters you will be chortling away with Matilda  Charlie  George  The BFG  James and many more! Roald Dahl was full of fun and mischief  and LOVED all kinds of jokes- the sillier the better  like chocolate-covered chickens to grizzly  grouchy grandmas. This side-splitting book includes his own 'knock-knock' jokes  keeping all practising jokesters amused for hours! ,Roald Dahl,10.01,6-12,129 x 198 x 7mm | 96g,Penguin Random House Children's UK,Puffin,"Activity Books,Classic Books for Children,Jokes Humour"
131,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2419/9780241988268.jpg,The Thursday Murder Club : (The Thursday Murder Club 1), 'Such a beacon of pleasure' KATE ATKINSON 'So smart and funny. Deplorably good' IAN RANKIN 'A gripping read' SUNDAY TIMES THE FIRST BOOK IN THE #1 BESTSELLING THURSDAY MURDER CLUB SERIES BY TV PRESENTER RICHARD OSMAN In a peaceful retirement village  four unlikely friends meet up once a week to investigate unsolved murders. But when a brutal killing takes place on their very doorstep  the Thursday Murder Club find themselves in the middle of their first live case. Elizabeth  Joyce  Ibrahim and Ron might be pushing eighty but they still have a few tricks up their sleeves. Can our unorthodox but brilliant gang catch the killer before it's too late? __________________________________ WHAT PEOPLE ARE SAYING ABOUT THE THURSDAY MURDER CLUB 'Thrilling  moving  laugh-out-loud funny' MARK BILLINGHAM 'A great read  I really enjoyed it' GRAHAM NORTON 'As the bodies pile up  and more is revealed of the lives and loves of Joyce  Ibrahim  Ron and Elizabeth  you can't help cheering them on - and hoping to meet them again soon' THE TIMES  CRIME BOOK OF THE MONTH 'Mystery fans are going to be enthralled' HARLAN COBEN 'Pure escapism' THE GUARDIAN  BEST CRIME AND THRILLERS OF 2020 'One of the most enjoyable books of the year' DAILY EXPRESS 'Smart  compassionate  warm  moving and so VERY funny' MARIAN KEYES 'As gripping as it is funny' EVENING STANDARD 'Funny  clever and achingly British' ADAM KAY 'An exciting new talent in crime fiction' DAILY MAIL 'A warm  wise and witty warning never to underestimate the elderly' VAL MCDERMID 'Delight after delight from first page to last' RED MAGAZINE 'I completely fell in love with it' SHARI LAPENA 'This is properly brilliant. The pages fly and I can't stop smiling' STEVE CAVANAGH 'Charming  clever debut' STYLIST 'I laughed my arse off' BELINDA BAUER 'A witty and poignant tale' DAILY TELEGRAPH 'Clever  clever plot' FIONA BARTON 'An absolutely delightful read' PRIMA MAGAZINE 'Utterly charming' SARAH PINBOROUGH 'Funny and original' THE SUN 'Properly funny and totally charming... steeped in Agatha Christie joy' ARAMINTA HALL 'This is one of the most delightful novels of the year' DAILY MIRROR 'A bundle of joy' JANE FALLON ,Richard Osman,14.01,Paperback | 400 pages,13 May 2021,London  United Kingdom,English,"Fiction Books,Contemporary Fiction,Crime,Crime Fiction,Vintage Crime,Thriller Books,Thrillers,Sagas"
132,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4721/9781472154668.jpg,Where the Crawdads Sing," #1 New York Times Bestseller A Reese Witherspoon x Hello Sunshine Book Club Pick ""I can't even express how much I love this book! I didn't want this story to end!"" Reese Witherspoon ""Painfully beautiful."" The New York Times Book Review For years  rumors of the ""Marsh Girl"" have haunted Barkley Cove  a quiet town on the North Carolina coast. So in late 1969  when handsome Chase Andrews is found dead  the locals immediately suspect Kya Clark  the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent  she has survived for years alone in the marsh that she calls home  finding friends in the gulls and lessons in the sand. Then the time comes when she yearns to be touched and loved. When two young men from town become intrigued by her wild beauty  Kya opens herself to a new life - until the unthinkable happens. Perfect for fans of Barbara Kingsolver and Celeste Ng  WHERE THE CRAWDADS SING is at once an exquisite ode to the natural world  a heartbreaking coming-of-age story  and a surprising tale of possible murder. Owens reminds us that we are forever shaped by the children we once were  and that we are all subject to the beautiful and violent secrets that nature keeps. ",Delia Owens,13.32,Paperback | 384 pages,20 Dec 2019,Corsair,London  United Kingdom,"Contemporary Fiction,Crime,Crime Fiction,Thriller Books,Thrillers"
133,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1401/9780140167771.jpg,The Secret History : From the Pulitzer Prize-winning author of The Goldfinch, THE BESTSELLER THAT DEFINED AN AGE 'Everything  somehow  fit together; some sly and benevolent Providence was revealing itself by degrees and I felt myself trembling on the brink of a fabulous discovery  as though any morning it was all going to come together---my future  my past  the whole of my life---and I was going to sit up in bed like a thunderbolt and say oh! oh! oh!' Under the influence of a charismatic classics professor  a group of clever  eccentric misfits at a New England college discover a way of thought and life a world away from their banal contemporaries. But their search for the transcendent leads them down a dangerous path  beyond human constructs of morality. 'Haunting  compelling and brilliant' The Times 'Irresistible and seductive' Guardian 'Enthralling... Forceful  cerebral and impeccably controlled' New York Times ,Donna Tartt,17.38,Paperback | 640 pages,01 Jul 1995,London  United Kingdom,English,"Contemporary Fiction,Crime,Crime Fiction"
134,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571368709.jpg,Small Things Like These : Shortlisted for the Booker Prize 2022, ** A Book of the Year in The Times - The New Statesman - Observer - Financial Times - Irish Times - Irish Independent - Times Literary Supplement ** WINNER OF THE ORWELL PRIZE AND THE KERRY GROUP IRISH NOVEL OF THE YEAR AWARD SHORTLISTED FOR THE RATHBONES FOLIO PRIZE AND THE IRISH NOVEL OF THE YEAR AT THE DALKEY LITERARY AWARDS 'Exquisite.' Damon Galgut 'Masterly.' The Times 'Miraculous.' Herald 'Astonishing.' Colm Toibin 'Stunning.' Sunday Independent 'Absolutely beautiful.' Douglas Stuart It is 1985  in an Irish town. During the weeks leading up to Christmas  Bill Furlong  a coal and timber merchant  faces into his busiest season. As he does the rounds  he feels the past rising up to meet him - and encounters the complicit silences of a people controlled by the Church. ,Claire Keegan,12.07,Paperback | 128 pages,03 Nov 2022,London  United Kingdom,English,"Contemporary Fiction,Historical Fiction"
